"","Country","ISO.3166.1.alpha.3","Coal","Oil","Gas","Cement","latitude","longitude"
"1","Afghanistan","AFG",4.150072,7.219776,0.251244,0.060674,33.93911,67.709953
"2","Albania","ALB",0.331439,3.217576,0.131178,1.048179,41.153332,20.168331
"3","Algeria","DZA",1.098537,54.540075,88.30831,11.028039,28.033886,1.659626
"4","Andorra","AND",0,0.448884,0,0,42.546245,1.601554
"5","Angola","AGO",0,13.103288,2.539976,1.12373,-11.202692,17.873887
"6","Anguilla","AIA",0,0.13139,0,0,18.220554,-63.068615
"7","Antarctica","ATA",NA,NA,NA,NA,-75.250973,-0.071389
"8","Antigua and Barbuda","ATG",0,0.425453,0,0,17.060816,-61.796428
"9","Argentina","ARG",2.64246,70.912696,90.21251,3.508472,-38.416097,-63.616672
"10","Armenia","ARM",0.010839,0.919696,5.159024,0.341102,40.069099,45.038189
"11","Aruba","ABW",0,0.778954,0,0,12.52111,-69.968338
"12","Australia","AUS",156.143134,135.476298,84.471564,2.820162,-25.274398,133.775136
"13","Austria","AUT",11.393343,30.712898,16.876937,1.821123,47.516231,14.550072
"14","Azerbaijan","AZE",0.003674,10.848232,25.305594,1.096472,40.143105,47.576927
"15","Bahamas","BHS",0.004997,2.161677,0,0,25.03428,-77.39628
"16","Bahrain","BHR",0,3.464196,33.079873,0.6147,25.930414,50.637772
"17","Bangladesh","BGD",16.948182,15.923472,56.451812,1.473934,23.684994,90.356331
"18","Barbados","BRB",0,0.888446,0.044253,0.070568,13.193887,-59.543198
"19","Belarus","BLR",3.777468,17.900204,33.632754,2.302394,53.709807,27.953389
"20","Belgium","BEL",10.651276,39.498344,35.856444,2.634278,50.503887,4.469936
"21","Belize","BLZ",0,0.613226,0,0,17.189877,-88.49765
"22","Benin","BEN",0.245894,6.516549,0.113724,0.387637,9.30769,2.315834
"23","Bermuda","BMU",0,0.497405,0,0,32.321384,-64.75737
"24","Bhutan","BTN",0.442315,0.603259,0,0.454119,27.514162,90.433601
"25","Bolivia","BOL",0.008997,12.4201,7.283845,1.26451,-16.290154,-63.588653
"26","Bosnia and Herzegovina","BIH",15.762171,4.379193,0.426328,0.365257,43.915886,17.679076
"27","Botswana","BWA",3.467812,2.790778,0,0,-22.328474,24.684866
"28","Brazil","BRA",56.240806,281.089414,59.026096,22.052686,-14.235004,-51.92528
"29","British Virgin Islands","VGB",0,0.143903,0,0,18.420695,-64.639968
"30","Bulgaria","BGR",16.597579,12.141451,5.36171,1.065905,42.733883,25.48583
"31","Burkina Faso","BFA",0,4.536506,0,0.852485,12.238333,-1.561593
"32","Burundi","BDI",0.046479,0.581588,0,0.029062,-3.373056,29.918886
"33","Cambodia","KHM",4.638542,8.739525,0,5.325217,12.565679,104.990963
"34","Cameroon","CMR",0,4.765146,1.386834,1.162479,7.369722,12.354722
"35","Canada","CAN",48.034995,238.378466,223.719402,6.624708,56.130366,-106.346771
"36","Cape Verde","CPV",0,0.62508,0,0,16.002082,-24.013197
"37","Central African Republic","CAF",0,0.214242,0,0,6.611111,20.939444
"38","Chad","TCD",0,1.358015,0,0.162747,15.454166,18.732207
"39","Chile","CHL",26.051363,45.392067,11.537218,0.825329,-35.675147,-71.542969
"40","China","CHN",7605.716883,1627.725238,687.880944,858.232613,35.86166,104.195397
"41","Christmas Island","CXR",NA,NA,NA,NA,-10.447525,105.690449
"42","Colombia","COL",15.474417,40.10649,24.170331,5.041366,4.570868,-74.297333
"43","Comoros","COM",0,0.282485,0,0,-11.875001,43.872219
"44","Cook Islands","COK",0,0.088942,0,0,-21.236736,-159.777671
"45","Costa Rica","CRI",0,6.345142,0,0.736598,9.748917,-83.753428
"46","Côte d'Ivoire","CIV",0,6.31817,4.556792,0,7.539989,-5.54708
"47","Croatia","HRV",1.423842,8.273147,5.519125,1.212949,45.1,15.2
